Order_ID,Product,Category,Price,Quantity,Discount,Region,Payment_Mode,Customer_Rating,Sales_Date,,
12346,Keyboard,Furniture,6801.47,2,,East,upi,4.9,1/15/2023,,
14461,Mouse,,89971.07,6,0,,Credit Card,4.3,,,
11352,Chair,,75526.77,5,0,,upi,2.8,March 5 2023,,
13320,Monitor,Accessories,71226.1,2,0,East,Cash,1.3,,,
12279,Monitor,Furniture,90058.36,2,,NORTH,UPI,4.7,March 5 2023,,
12675,Phone,Electronics,64611.84,2,0,NORTH,Credit Card,4.1,1/10/2023,,
9179,Phone,Furniture,43239.92,-1,0.05,South,upi,3.8,1/15/2023,,
9905,Printer,,69479.86,4,0.1,East,upi,2.4,1/15/2023,,
10137,Printer,Furniture,71526.86,12,0,south,Cash,2.4,,,
11043,Desk,Furniture,59542.1,10,,East,Cash,3.3,1/15/2023,,MAX(Rting)
10042,Mouse,,97458.49,14,0.2,South,Credit Card,2.8,,,6
11604,Mouse,Electronics,4509.66,12,0,North,Credit Card,4.3,,,
10169,Mouse,Furniture,48118.16,5,0,South,upi,4,1/15/2023,,
12255,Tablet,Furniture,36821.13,7,ten,West,Debit Card,4.1,1/15/2023,,
13449,Monitor,Furniture,32300.8,13,0.1,North,Debit Card,5.3,March 5 2023,,
13290,Laptop,,3402.01,6,0.2,South,Debit Card,2,,,
10909,Monitor,Furniture,13853.56,0,0.1,North,Debit Card,4.3,1/10/2023,,
14559,Printer,Furniture,76802.03,6,0.1,East,Credit Card,5.4,March 5 2023,,
12002,,,34056.74,9,0.1,South,Cash,5,1/10/2023,,
10178,Headphones,Electronics,18914.27,8,?,NORTH,,3.5,,,
13493,Laptop,Furniture,62595.33,3,0.1,,upi,2.8,1/10/2023,,
13316,Desk,Accessories,3603.6,9,0.05,,UPI,5.6,March 5 2023,,
12236,Headphones,Furniture,68988.84,6,0.1,south,Debit Card,4.4,1/15/2023,,
14624,,Accessories,86092.16,9,0.05,North,upi,2.4,,,
10925,Tablet,Furniture,63396.75,11,0.2,North,Debit Card,4.1,,,
12213,Chair,Furniture,23714.89,1,,West,UPI,1,1/15/2023,,
12929,Monitor,Accessories,89104.24,2,0,south,upi,3,1/10/2023,,
10208,Tablet,Furniture,56993.75,13,?,East,upi,5.5,1/10/2023,,
12272,Keyboard,,63745.93,12,ten,West,Debit Card,4.2,1/15/2023,,
12806,Headphones,Electronics,70378.18,2,0,North,UPI,4.5,March 5 2023,,
13289,Phone,Furniture,10096.61,8,,East,Credit Card,4.6,1/10/2023,,
14883,Laptop,,7119.42,6,0.05,NORTH,upi,1.1,1/10/2023,,
9729,Mouse,Electronics,27656.21,11,0.1,,Credit Card,3.3,1/10/2023,,
12099,Tablet,Electronics,54175.87,12,,south,,4.6,1/15/2023,,
9616,Tablet,Electronics,19830.81,11,0.1,East,,1.8,March 5 2023,,
14215,Phone,,68960.94,9,0,NORTH,UPI,3,1/15/2023,,
14073,Chair,Furniture,68419.72,3,,,Credit Card,3.9,1/15/2023,,
10625,Mouse,Accessories,14523.16,1,?,North,,2.9,1/10/2023,,
13039,Printer,,80548.2,8,0,NORTH,Credit Card,2.8,March 5 2023,,
11235,Mouse,,22602.93,-2,0,East,Debit Card,3.3,March 5 2023,,
12356,Phone,Furniture,9502.83,-1,0.05,south,Cash,4.4,1/10/2023,,
